Entity,Code,AvgLifeExpectancyDiffFM
Saint Helena,SHN,5.365289798611111
Saint Kitts and Nevis,KNA,5.266257175
Saint Lucia,LCA,4.441089422222222
Saint Martin (French part),MAF,6.115846116666667
Saint Pierre and Miquelon,SPM,10.804770568055556
Saint Vincent and the Grenadines,VCT,4.4197626
Samoa,WSM,4.479730870416667
San Marino,SMR,4.897011109722222
Sao Tome and Principe,STP,3.7453040958333332
Saudi Arabia,SAU,2.9865358694444444
Senegal,SEN,2.250129532388889
Serbia,SRB,5.124725297222223
Seychelles,SYC,8.464479227777778
Sierra Leone,SLE,2.474845758333333
Singapore,SGP,5.314937425
Sint Maarten (Dutch part),SXM,3.9160305611111115
Slovakia,SVK,6.772459658333333
Slovenia,SVN,6.868196959722222
Solomon Islands,SLB,4.127738168055555
Somalia,SOM,3.2712986125000003
South Africa,ZAF,5.046406895833333
South Korea,KOR,7.865134654166667
South Sudan,SSD,3.7788835568055554
Spain,ESP,5.908662473611111
Sri Lanka,LKA,6.661549720833333
Sudan,SDN,4.6937017955555556
Suriname,SUR,5.6517657013888885
Sweden,SWE,4.586259625
Switzerland,CHE,5.5628899333333335
Syria,SYR,3.8658416486111107
Taiwan,TWN,5.466346913888889
Tajikistan,TJK,5.1612366
Tanzania,TZA,3.467147363888889
Thailand,THA,6.990347665277778
Togo,TGO,2.0786664303611113
Tokelau,TKL,1.8473134058333334
Tonga,TON,6.466448191666667
Trinidad and Tobago,TTO,4.9913915
Tunisia,TUN,4.104304315277778
Turkey,TUR,6.397219073611111
Turkmenistan,TKM,7.1080926875
Turks and Caicos Islands,TCA,4.125819618055555
Tuvalu,TUV,4.18633609
Uganda,UGA,4.919873394444444
Ukraine,UKR,9.073791459722223
United Arab Emirates,ARE,4.534013590277778
United Kingdom,GBR,5.240753577777778
United States,USA,6.335129631944445
United States Virgin Islands,VIR,7.330593490277778
Uruguay,URY,7.526606851388888
Uzbekistan,UZB,5.851487493055555
Vanuatu,VUT,3.69002205
Venezuela,VEN,5.706098172222222
Vietnam,VNM,9.427398561111112
Wallis and Futuna,WLF,1.4839764213055555
Western Sahara,ESH,5.146300320833333
Yemen,YEM,4.677633381944444
Zambia,ZMB,2.9984308847222225
Zimbabwe,ZWE,4.3351374611111115
