Entity,Code,AvgLifeExpectancy
Afghanistan,AFG,45.38673333333334
Albania,ALB,68.29230694444445
Algeria,DZA,58.622506944444446
American Samoa,ASM,68.63937083333333
Andorra,AND,77.04515416666666
Angola,AGO,45.33783611111111
Anguilla,AIA,69.43871527777777
Antigua and Barbuda,ATG,71.2058375
Argentina,ARG,69.91420277777777
Armenia,ARM,67.15836527777778
Aruba,ABW,70.25651527777778
Australia,AUS,75.99709027777777
Austria,AUT,74.44006388888889
Azerbaijan,AZE,62.303330555555554
Bahamas,BHS,68.34915
Bahrain,BHR,67.31233611111111
Bangladesh,BGD,55.68564305555556
Barbados,BRB,70.59875694444445
Belarus,BLR,69.80001666666666
Belgium,BEL,74.7536375
Belize,BLZ,65.95728055555556
Benin,BEN,49.250075
Bermuda,BMU,72.81008888888888
Bhutan,BTN,51.64239305555555
Bolivia,BOL,54.37916527777778
Bonaire Sint Eustatius and Saba,BES,72.49696527777778
Bosnia and Herzegovina,BIH,68.65791527777778
Botswana,BWA,56.198140277777775
Brazil,BRA,63.328561111111114
British Virgin Islands,VGB,68.70180833333333
Brunei,BRN,67.74093194444444
Bulgaria,BGR,70.842075
Burkina Faso,BFA,46.54863888888889
Burundi,BDI,47.424012499999996
Cambodia,KHM,51.69864583333333
Cameroon,CMR,50.19798611111111
Canada,CAN,76.04317638888888
Cape Verde,CPV,62.13037777777778
Cayman Islands,CYM,68.26505138888889
Central African Republic,CAF,46.33586666666667
Chad,TCD,44.33385555555556
Chile,CHL,69.15935972222222
China,CHN,63.687262499999996
Colombia,COL,66.25298194444444
Comoros,COM,51.74007638888889
Congo,COG,54.533525
Cook Islands,COK,64.44037916666667
Costa Rica,CRI,71.312925
Cote d'Ivoire,CIV,48.494727777777776
Croatia,HRV,71.14427361111112
Cuba,CUB,71.72485833333333
Curacao,CUW,70.69336944444444
Cyprus,CYP,71.87946111111111
Czechia,CZE,72.63892361111111
Democratic Republic of Congo,COD,47.968025
Denmark,DNK,75.38950277777778
Djibouti,DJI,52.51699861111111
Dominica,DMA,66.83201805555555
Dominican Republic,DOM,62.350051388888886
East Timor,TLS,44.30719166666666
Ecuador,ECU,64.96350416666667
Egypt,EGY,58.42102638888889
El Salvador,SLV,59.22748611111111
Equatorial Guinea,GNQ,48.361269444444446
Eritrea,ERI,49.185562499999996
Estonia,EST,71.25099166666666
Eswatini,SWZ,51.74330555555556
Ethiopia,ETH,47.15889583333333
Falkland Islands,FLK,61.56234305555555
Faroe Islands,FRO,74.6845736111111
Fiji,FJI,62.88783194444444
